Galaxy,chi2_Quat,AIC_Quat,BIC_Quat,M_solar_Quat,rs_kpc_Quat,epsilon_Quat,chi2_LCDM,AIC_LCDM,BIC_LCDM,chi2_MOND,AIC_MOND,BIC_MOND,Best_Model
UGC04325_rotmod,280.5843853228115,286.5843853228115,286.822709947851,31681935907.796875,19.424720084050477,4613.875095452022,288.7000491542371,296.7000491542371,297.01781532095646,708.7709132285081,714.7709132285081,715.0092378535476,Quaternionic
NGC2403_rotmod,45257.0575931611,45263.0575931611,45269.92897148454,80121917814.27759,19.99851342336265,5013.468209701592,37370.66154648476,37378.66154648476,37387.82338424935,287718.1852323376,287724.1852323376,287731.0566106611,LCDM
NGC3521_rotmod,329.5055922340386,335.5055922340386,340.64630843415154,99668801090.24022,8.486011695893005,4796.625157899022,87.71280654042249,95.71280654042249,102.56709480723973,999.1681227443169,1005.1681227443169,1010.3088389444298,LCDM
UGC08490_rotmod,268.64342733379704,274.64342733379704,278.8470194787835,29095981384.142426,19.713798557441827,4831.5339137139235,287.6528196026245,295.6528196026245,301.25760912927313,10376.326229864966,10382.326229864966,10386.529822009952,Quaternionic
UGC12732_rotmod,523.3158202248414,529.3158202248414,531.6335863915608,33048696164.95215,19.860521567807247,5034.416494277564,444.4092189751067,452.4092189751067,455.4995738640658,12884.127217781468,12890.127217781468,12892.444983948188,LCDM
UGC05829_rotmod,126.56848109496605,132.56848109496605,133.76216691336117,9997898815.252506,18.769601664590155,4999.851224035234,141.836880278532,149.836880278532,151.42846136972548,2085.5843335681807,2091.5843335681807,2092.7780193865756,Quaternionic
UGC12506_rotmod,2069.0077319721986,2075.0077319721986,2079.3096935856543,99982095439.23697,4.939151442810713,414.3468818137245,144.34809873800234,152.34809873800234,158.08404755594293,1835.550791493384,1841.550791493384,1845.8527531068394,LCDM
NGC0024_rotmod,559.3399914227318,565.3399914227318,569.4418789126912,44151354155.88887,19.810708405130104,4846.991357693161,554.5185520696873,562.5185520696873,567.9877353896331,2596.0930330985575,2602.0930330985575,2606.194920588517,LCDM
UGC03546_rotmod,6843.490708643417,6849.490708643417,6853.694300788403,99995945546.88446,3.087254136169578,4977.335253304171,42.099894411364716,50.099894411364716,55.70468393801334,10006.063569674814,10012.063569674814,10016.2671618198,LCDM
UGC06399_rotmod,133.3954906084307,139.3954906084307,139.98716434043934,25642542627.47677,19.033152200604373,5051.4433816704695,130.57946211857578,138.57946211857578,139.36836042792066,1288.2180319612908,1294.2180319612908,1294.8097056932995,LCDM
UGC00634_rotmod,201.59675110325168,207.59675110325168,205.75563418661136,66769674796.911545,19.74800194488699,4834.687416333789,142.11205861273555,150.11205861273555,147.6572360572151,20802.211691032215,20808.211691032215,20806.370574115575,LCDM
UGC07151_rotmod,469.9691091576438,475.9691091576438,477.1627949760389,17633096301.95517,19.482437676923514,5056.49861055433,549.4361588259328,557.4361588259328,559.0277399171263,2677.4662753093776,2683.4662753093776,2684.6599611277725,Quaternionic
UGCA442_rotmod,760.0344683787621,766.0344683787621,766.2727930038016,12530094487.115683,19.78561665945064,4964.404785880337,922.066836830657,930.066836830657,930.3846029973764,26987.46713770529,26993.46713770529,26993.70546233033,Quaternionic
F563-1_rotmod,200.15359839971717,206.15359839971717,208.65323843188582,35708757271.32634,19.55002322467018,4958.738829780852,174.89375525859268,182.89375525859268,186.22660863481755,1361.8937247177107,1367.8937247177107,1370.3933647498793,LCDM
NGC3953_rotmod,352.02345320683105,358.02345320683105,358.2617778318706,110549942858.22353,4.139231581783608,0.3229887895017354,51.29173610805287,59.29173610805287,59.60950227477222,64.58992249348616,70.58992249348616,70.82824711852567,LCDM
